frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1, 0, 0.000, 0.93, 1, 1.60, 0.33, 0.00, 0.00, 0.14, 1.14, 0.00, 0.00, 0.23, 0.00, 0.10, 0.00, 0.00, 0.00, 1.28, 0.58, 1.46, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00
2, 0, 0.000, 0.98, 1, 1.44, 0.13, 0.06, 0.00, 0.20, 1.19, 0.04, 0.00, 0.10, 0.03, 0.12, 0.00, 0.00, 0.00, 1.12, 0.66, 1.38, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00
3, 0, 0.000, 0.98, 1, 1.27, 0.02, 0.06, 0.00, 0.28, 1.43, 0.14, 0.00, 0.03, 0.08, 0.18, 0.00, 0.00, 0.00, 0.96, 0.68, 1.37, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00
4, 0, 0.000, 0.98, 1, 1.15, 0.03, 0.06, 0.00, 0.29, 1.52, 0.16, 0.00, 0.00, 0.06, 0.24, 0.03, 0.00, 0.00, 0.84, 0.66, 1.08, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
5, 0, 0.000, 0.98, 1, 1.16, 0.01, 0.01, 0.00, 0.19, 1.38, 0.14, 0.00, 0.00, 0.09, 0.19, 0.03, 0.00, 0.00, 0.74, 0.50, 0.72, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
6, 0, 0.000, 0.98, 1, 1.17, 0.01, 0.00, 0.00, 0.06, 1.09, 0.05, 0.00, 0.00, 0.06, 0.10, 0.03, 0.00, 0.03, 0.57, 0.28, 0.31, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
7, 0, 0.000, 0.93, 1, 1.18, 0.00, 0.00, 0.00, 0.00, 0.75, 0.03, 0.00, 0.04, 0.06, 0.03, 0.00, 0.00, 0.10, 0.36, 0.07, 0.17, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
8, 0, 0.000, 0.98, 1, 1.20, 0.00, 0.00, 0.00, 0.00, 0.53, 0.00, 0.00, 0.08, 0.02, 0.00, 0.00, 0.00, 0.10, 0.12, 0.00, 0.07, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
9, 0, 0.000, 0.98, 1, 1.17, 0.00, 0.00, 0.00, 0.00, 0.36, 0.03, 0.00, 0.08, 0.01, 0.00, 0.00, 0.00, 0.08, 0.03, 0.00, 0.01, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
10, 0, 0.000, 0.98, 1, 1.08, 0.00, 0.00, 0.00, 0.00, 0.37, 0.08, 0.00, 0.04, 0.00, 0.12, 0.00, 0.00, 0.01, 0.12, 0.00, 0.01, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
11, 0, 0.000, 0.98, 1, 1.00, 0.00, 0.00, 0.00, 0.00, 0.38, 0.10, 0.00, 0.00, 0.01, 0.35, 0.19, 0.00, 0.01, 0.12, 0.02, 0.05, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
12, 0, 0.000, 0.98, 1, 1.01, 0.00, 0.00, 0.00, 0.00, 0.42, 0.10, 0.00, 0.00, 0.01, 0.73, 0.55, 0.00, 0.18, 0.12, 0.02, 0.09, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
13, 0, 0.000, 0.98, 1, 1.09, 0.00, 0.00, 0.00, 0.00, 0.39, 0.12, 0.00, 0.00, 0.01, 1.03, 0.98, 0.00, 0.45, 0.00, 0.02, 0.09, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
